code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01421,1888.888888888889,11,1888.888888888889,11.0,,,2020,Torcieu,01
01422,2092.198581560284,7,2092.198581560284,7.0,,,2020,Tossiat,01
01423,2971.5841584158416,7,2971.5841584158416,7.0,,,2020,Toussieux,01
01424,3080.6122448979595,12,3100.0,7.0,3061.2244897959185,5.0,2020,Tramoyes,01
01425,1896.551724137931,5,1896.551724137931,5.0,,,2020,La Tranclière,01
01426,1737.3223039215686,26,1715.686274509804,25.0,4074.074074074074,1.0,2020,Val-Revermont,01
01427,2664.8991848991845,68,2793.424317617866,40.0,2414.235190097259,28.0,2020,Trévoux,01
01429,1505.0986842105262,8,1505.0986842105262,8.0,,,2020,Vandeins,01
01430,2307.89247311828,11,2319.504132231405,9.0,2074.0389178927385,2.0,2020,Varambon,01
01431,1732.9411764705883,7,1732.9411764705883,7.0,,,2020,Vaux-en-Bugey,01
01434,1678.3216783216783,5,1678.3216783216783,5.0,,,2020,Versailleux,01
01435,4202.662721893491,18,4121.533381148765,16.0,5013.480392156863,2.0,2020,Versonnex,01
01436,3321.678321678321,5,4429.824561403509,1.0,3147.908126356402,4.0,2020,Vesancy,01
01441,993.75,5,993.75,5.0,,,2020,Vieu-d'Izenave,01
01443,2597.0149253731342,57,2687.058823529412,29.0,2518.6567164179105,28.0,2020,Villars-les-Dombes,01
01444,1716.0714285714284,10,1807.142857142857,9.0,1300.0,1.0,2020,Villebois,01
01445,2061.855670103093,9,2061.855670103093,5.0,1909.090909090909,4.0,2020,Villemotier,01
01446,2767.8571428571427,19,2646.706586826347,12.0,5113.636363636364,7.0,2020,Villeneuve,01
01447,1352.5528169014085,8,1352.5528169014085,8.0,,,2020,Villereversure,01
01449,3067.7792465300727,16,3194.38202247191,13.0,2941.176470588235,3.0,2020,Villette-sur-Ain,01
01450,2646.885521885522,48,2636.3636363636365,37.0,2669.0140845070423,11.0,2020,Villieu-Loyes-Mollon,01
01451,2198.4137931034484,64,2198.4137931034484,61.0,1893.939393939394,3.0,2020,Viriat,01
01452,1068.1693989071039,16,902.7777777777778,11.0,1176.923076923077,5.0,2020,Virieu-le-Grand,01
01454,1893.939393939394,13,1893.939393939394,12.0,1616.4383561643835,1.0,2020,Virignin,01
01457,1747.737556561086,24,1718.3257918552035,18.0,2150.537634408602,6.0,2020,Vonnas,01
02002,1008.7719298245614,7,1008.7719298245614,7.0,,,2020,Achery,02
02003,1680.7128339140536,8,1680.7128339140536,8.0,,,2020,Acy,02
02011,1480.0,9,1480.0,9.0,,,2020,Ambleny,02
02018,1416.6666666666667,19,1308.916083916084,16.0,2222.222222222222,3.0,2020,Anizy-le-Grand,02
02019,1075.268817204301,5,1075.268817204301,5.0,,,2020,Annois,02
02022,1218.3908045977012,7,1218.3908045977012,7.0,,,2020,Arcy-Sainte-Restitue,02
02028,1384.1680814940578,22,1276.4258999532492,20.0,1842.7993669773164,2.0,2020,Athies-sous-Laon,02
02037,1267.281105990783,11,1267.281105990783,11.0,,,2020,Aulnois-sous-Laon,02
